max;sum;vuosi;ASTA_ID
1;1567;2009;0
1;1452;2015;0
1;1049;2017;0
1;960;2020;0
1;2706;2009;3
1;1132;2009;1
1;75;2009;2
1;2556;2015;3
1;1044;2015;1
1;82;2015;2
1;954;2017;3
1;1014;2017;1
1;23;2017;2
1;777;2020;3
1;880;2020;1
1;56;2020;2
1;2816;2009;11
1;782;2009;5
1;782;2009;4
1;315;2009;7
1;910;2009;9
1;2816;2009;10
1;315;2009;6
1;910;2009;8
1;641;2015;11
1;821;2015;5
1;821;2015;4
1;342;2015;7
1;345;2015;9
1;641;2015;10
1;342;2015;6
1;345;2015;8
1;1330;2017;11
1;492;2017;5
1;492;2017;4
1;208;2017;7
1;539;2017;9
1;1330;2017;10
1;208;2017;6
1;539;2017;8
1;1180;2020;11
1;497;2020;5
1;497;2020;4
1;202;2020;7
1;514;2020;9
1;1180;2020;10
1;202;2020;6
1;514;2020;8
1;1567;2009;12
1;2100;2017;12
1;1822;2020;12
1;409;2009;13
1;8;2017;13
1;8;2020;13
1;721;2009;22
1;1316;2009;18
1;539;2009;14
1;721;2009;21
1;721;2009;19
1;872;2009;16
1;1665;2009;17
1;721;2009;20
1;720;2009;15
1;933;2015;16
1;511;2015;14
1;22;2015;15
1;204;2017;22
1;1636;2017;18
1;757;2017;14
1;204;2017;21
1;204;2017;19
1;443;2017;16
1;61;2017;17
1;204;2017;20
1;225;2017;15
1;72;2020;22
1;1643;2020;18
1;685;2020;14
1;72;2020;21
1;72;2020;19
1;396;2020;16
1;65;2020;17
1;72;2020;20
1;205;2020;15
1;1742;2010;872
1;1742;2010;871
1;1742;2010;24
1;1742;2010;23
1;1557;2012;872
1;1557;2012;871
1;1557;2012;24
1;1557;2012;23
;;2018;872
;;2018;871
;;2018;24
;;2018;23
1;2065;2010;960
1;10133;2010;26
1;10133;2010;956
1;2065;2010;959
1;10133;2010;27
1;10133;2010;25
1;2065;2010;958
1;10133;2010;955
1;10133;2010;957
1;1902;2012;960
1;8855;2012;26
1;8855;2012;956
1;1902;2012;959
1;8855;2012;27
1;8855;2012;25
1;1902;2012;958
1;8855;2012;955
1;8855;2012;957
1;2027;2013;960
1;9417;2013;26
1;9417;2013;956
1;2027;2013;959
1;9417;2013;27
1;9417;2013;25
1;2027;2013;958
1;9417;2013;955
1;9417;2013;957
1;333;2017;960
1;9938;2017;26
1;9938;2017;956
1;333;2017;959
1;9938;2017;27
1;9938;2017;25
1;333;2017;958
1;9938;2017;955
1;9938;2017;957
1;184;2020;960
1;281;2020;26
1;281;2020;956
1;184;2020;959
1;281;2020;27
1;281;2020;25
1;184;2020;958
1;281;2020;955
1;281;2020;957
;;2021;960
;;2021;26
;;2021;956
;;2021;959
;;2021;27
;;2021;25
;;2021;958
;;2021;955
;;2021;957
;;2009;33
1;466;2009;32
1;49;2009;31
1;566;2009;29
1;49;2009;30
1;566;2009;28
1;164;2017;33
1;910;2017;32
1;73;2017;31
1;957;2017;29
1;73;2017;30
1;957;2017;28
1;81;2020;33
1;639;2020;32
1;65;2020;31
1;877;2020;29
1;65;2020;30
1;877;2020;28
1;737;2009;34
1;1087;2017;34
1;2421;2009;41
1;1040;2009;35
1;703;2009;37
1;826;2009;36
1;148;2009;38
1;2570;2009;39
1;5673;2009;40
1;660;2017;41
1;276;2017;35
1;54;2017;37
1;68;2017;36
1;107;2017;38
1;2775;2017;39
1;1176;2017;40
1;2298;2012;41
;;2012;39
1;5917;2012;40
1;161;2009;47
1;340;2009;42
1;321;2009;44
1;321;2009;45
1;1491;2009;46
1;340;2009;43
1;147;2012;47
1;362;2012;42
1;337;2012;44
1;337;2012;45
1;1663;2012;46
1;362;2012;43
1;137;2015;47
1;361;2015;42
1;337;2015;44
1;337;2015;45
1;1654;2015;46
1;361;2015;43
1;33;2019;47
1;274;2019;42
1;254;2019;44
1;254;2019;45
1;1020;2019;46
1;274;2019;43
1;889;2009;48
1;909;2012;48
1;5348;2009;55
1;104;2009;49
1;5348;2009;54
1;9803;2009;52
1;9803;2009;51
1;104;2009;50
1;9803;2009;53
1;13;2015;55
;;2015;49
1;13;2015;54
1;939;2015;52
1;939;2015;51
;;2015;50
1;939;2015;53
1;54;2017;55
;;2017;49
1;54;2017;54
1;1570;2017;52
1;1570;2017;51
;;2017;50
1;1570;2017;53
1;2553;2009;59
1;4;2009;56
1;2553;2009;58
1;4;2009;57
1;2462;2015;59
;;2015;56
1;2462;2015;58
;;2015;57
1;204;2019;59
;;2019;56
1;204;2019;58
;;2019;57
1;1748;2009;60
1;1758;2015;60
1;689;2019;60
1;453;2008;64
1;453;2008;63
1;2468;2008;62
1;2468;2008;61
;;2019;64
;;2019;63
1;69;2019;62
1;69;2019;61
1;1485;2008;65
;;2015;65
1;164;2019;65
1;1752;2008;67
1;2061;2008;66
;;2015;67
;;2015;66
1;329;2019;67
1;1116;2019;66
1;1066;2008;72
1;4668;2008;70
1;4668;2008;71
1;1495;2008;68
1;1495;2008;69
1;862;2019;72
1;1701;2019;70
1;1701;2019;71
1;563;2019;68
1;563;2019;69
1;41;2010;73
1;34;2019;73
1;4248;2008;103
1;2487;2008;98
1;423;2008;83
1;2487;2008;95
1;2714;2008;87
1;1611;2008;90
1;575;2008;80
1;161;2008;93
1;2714;2008;88
1;161;2008;94
1;2912;2008;74
1;423;2008;85
1;1976;2008;75
1;575;2008;81
1;4248;2008;102
1;4248;2008;99
1;3340;2008;76
1;1800;2008;78
1;1611;2008;91
1;575;2008;79
1;575;2008;82
1;2714;2008;86
1;1611;2008;92
1;1312;2008;89
1;3340;2008;77
1;4248;2008;101
1;4248;2008;100
1;2487;2008;97
1;2487;2008;96
1;423;2008;84
1;1189;2011;103
1;701;2011;98
1;114;2011;83
1;701;2011;95
1;696;2011;87
1;517;2011;90
1;159;2011;80
1;69;2011;93
1;696;2011;88
1;69;2011;94
1;814;2011;74
1;114;2011;85
1;663;2011;75
1;159;2011;81
1;1189;2011;102
1;1189;2011;99
1;905;2011;76
1;498;2011;78
1;517;2011;91
1;159;2011;79
1;159;2011;82
1;696;2011;86
1;517;2011;92
1;353;2011;89
1;905;2011;77
1;1189;2011;101
1;1189;2011;100
1;701;2011;97
1;701;2011;96
1;114;2011;84
1;647;2019;103
1;373;2019;98
1;187;2019;83
1;373;2019;95
1;500;2019;87
1;1275;2019;90
1;350;2019;80
1;43;2019;93
1;500;2019;88
1;43;2019;94
1;293;2019;74
1;187;2019;85
1;1249;2019;75
1;350;2019;81
1;647;2019;102
1;647;2019;99
1;478;2019;76
1;258;2019;78
1;1275;2019;91
1;350;2019;79
1;350;2019;82
1;500;2019;86
1;1275;2019;92
1;174;2019;89
1;478;2019;77
1;647;2019;101
1;647;2019;100
1;373;2019;97
1;373;2019;96
1;187;2019;84
1;311;2010;109
1;679;2010;106
1;311;2010;108
1;1088;2010;104
1;679;2010;107
1;2263;2010;105
;;2011;105
1;335;2011;104
1;315;2015;109
1;700;2015;106
1;315;2015;108
1;1391;2015;104
1;700;2015;107
1;3065;2015;105
1;29;2019;109
1;129;2019;106
1;29;2019;108
1;355;2019;104
1;129;2019;107
1;1286;2019;105
1;57;2009;135
1;4605;2009;115
1;3118;2009;118
1;6804;2009;111
1;1786;2009;120
1;6804;2009;112
1;3137;2009;121
1;3118;2009;119
1;3574;2009;113
1;465;2009;116
1;16;2009;110
1;3574;2009;114
1;465;2009;117
1;92;2012;135
1;4863;2012;115
1;3426;2012;118
1;7036;2012;111
1;1812;2012;120
1;7036;2012;112
1;3578;2012;121
1;3426;2012;119
1;3644;2012;113
1;532;2012;116
1;25;2012;110
1;3644;2012;114
1;532;2012;117
;;2009;122
;;2012;122
1;2423;2010;123
1;2635;2012;123
1;1337;2019;123
1;2967;2009;124
1;2676;2012;124
1;48;2009;130
1;66;2009;127
1;66;2009;128
1;48;2009;129
1;3392;2009;126
1;3649;2009;125
1;26;2012;130
1;49;2012;127
1;49;2012;128
1;26;2012;129
1;3237;2012;126
1;3834;2012;125
;;2019;130
;;2019;127
;;2019;128
;;2019;129
1;1608;2019;126
1;682;2019;125
1;3249;2009;131
1;3035;2011;131
1;3242;2012;131
;;2009;132
1;3510;2011;132
1;3750;2012;132
;;2015;132
1;521;2010;133
1;549;2015;133
1;477;2010;134
1;555;2015;134
1;573;2019;134
1;6107;2009;139
1;1051;2009;137
1;1051;2009;136
1;6107;2009;138
1;7220;2012;139
1;1648;2012;137
1;1648;2012;136
1;7220;2012;138
1;1468;2010;142
1;44;2010;140
1;1535;2015;142
1;52;2015;140
1;256;2019;142
1;33;2019;140
1;4655;2010;141
1;4958;2015;141
;;2019;141
;;2021;141
1;431;2010;152
1;675;2010;148
1;3387;2010;145
1;3097;2010;143
1;675;2010;149
1;249;2010;147
1;3387;2010;146
1;431;2010;151
1;675;2010;150
1;501;2015;152
1;765;2015;148
1;3817;2015;145
1;393;2015;143
1;765;2015;149
1;313;2015;147
1;3817;2015;146
1;501;2015;151
1;765;2015;150
;;2019;152
;;2019;148
;;2019;145
;;2019;143
;;2019;149
;;2019;147
;;2019;146
;;2019;151
;;2019;150
1;509;2020;152
1;771;2020;148
1;2708;2020;145
;;2020;143
1;771;2020;149
1;328;2020;147
1;2708;2020;146
1;509;2020;151
1;771;2020;150
1;214;2010;144
1;215;2015;144
;;2019;144
;;2020;144
1;412;2013;152
1;611;2013;148
1;412;2013;151
1;2928;2013;146
1;2928;2013;145
1;611;2013;150
1;265;2013;147
1;611;2013;149
1;152;2014;152
1;371;2014;148
1;152;2014;151
1;3746;2014;146
1;3746;2014;145
1;371;2014;150
1;371;2014;149
1;1822;2011;153
1;1951;2012;153
1;2055;2015;153
1;1160;2011;154
1;1728;2013;154
1;96;2015;154
1;2682;2012;155
1;2777;2013;155
;;2021;155
1;616;2010;160
1;4271;2010;156
1;616;2010;159
1;616;2010;157
1;616;2010;158
1;3783;2012;156
1;784;2013;160
1;4032;2013;156
1;784;2013;159
1;784;2013;157
1;784;2013;158
;;2019;160
;;2019;156
;;2019;159
;;2019;157
;;2019;158
1;686;2012;161
1;622;2013;161
;;2021;161
1;32;2012;162
1;32;2013;162
1;1025;2010;163
1;937;2012;163
1;1027;2013;163
;;2019;163
1;2421;2012;164
1;2475;2013;164
1;3388;2009;165
1;144;2017;165
1;187;2009;170
1;1676;2009;169
1;2727;2009;167
1;2727;2009;166
1;1676;2009;168
1;267;2016;170
1;1353;2016;169
1;1748;2016;167
1;1748;2016;166
1;1353;2016;168
;;2017;170
1;432;2017;169
1;547;2017;167
1;547;2017;166
1;432;2017;168
1;709;2009;171
1;664;2015;171
;;2017;171
;;2021;171
1;1189;2009;172
1;1268;2015;172
;;2017;172
1;654;2021;172
1;526;2009;174
1;984;2009;173
1;338;2015;174
1;118;2015;173
;;2017;174
;;2017;173
1;492;2021;174
1;208;2021;173
1;3116;2012;176
1;1921;2012;175
1;3463;2013;176
1;1990;2013;175
;;2021;176
;;2021;175
1;909;2012;177
1;981;2013;177
1;93;2021;177
1;2303;2012;185
1;5;2012;178
1;5;2012;179
1;812;2012;182
1;812;2012;183
1;2303;2012;184
1;1286;2012;180
1;1286;2012;181
1;2312;2013;185
1;20;2013;178
1;20;2013;179
1;817;2013;182
1;817;2013;183
1;2312;2013;184
1;1490;2013;180
1;1490;2013;181
1;1086;2021;185
1;21;2021;178
1;21;2021;179
1;265;2021;182
1;265;2021;183
1;1086;2021;184
1;1223;2021;180
1;1223;2021;181
1;1275;2012;188
1;1362;2012;186
1;375;2012;187
1;1340;2013;188
1;1282;2013;186
1;408;2013;187
;;2021;188
;;2021;186
;;2021;187
1;6187;2008;203
1;6187;2008;202
1;1959;2008;192
1;1534;2008;190
1;378;2008;199
1;1959;2008;195
1;1534;2008;189
1;1959;2008;194
1;1534;2008;191
1;378;2008;198
1;81;2008;197
1;6187;2008;201
1;1959;2008;193
1;81;2008;196
1;378;2008;200
1;6822;2009;203
1;6822;2009;202
1;2193;2009;192
1;1684;2009;190
1;388;2009;199
1;2193;2009;195
1;1684;2009;189
1;2193;2009;194
1;1684;2009;191
1;388;2009;198
1;84;2009;197
1;6822;2009;201
1;2193;2009;193
1;84;2009;196
1;388;2009;200
1;7002;2015;203
1;7002;2015;202
1;2303;2015;192
1;1698;2015;190
1;392;2015;199
1;2303;2015;195
1;1698;2015;189
1;2303;2015;194
1;1698;2015;191
1;392;2015;198
1;82;2015;197
1;7002;2015;201
1;2303;2015;193
1;82;2015;196
1;392;2015;200
1;7349;2016;203
1;7349;2016;202
1;2400;2016;192
1;1769;2016;190
1;404;2016;199
1;2400;2016;195
1;1769;2016;189
1;2400;2016;194
1;1769;2016;191
1;404;2016;198
1;84;2016;197
1;7349;2016;201
1;2400;2016;193
1;84;2016;196
1;404;2016;200
1;573;2019;203
1;573;2019;202
1;165;2019;192
1;81;2019;190
1;128;2019;199
1;165;2019;195
1;81;2019;189
1;165;2019;194
1;81;2019;191
1;128;2019;198
1;15;2019;197
1;573;2019;201
1;165;2019;193
1;15;2019;196
1;128;2019;200
1;824;2009;208
1;905;2009;207
1;288;2009;205
1;288;2009;204
1;905;2009;206
1;9;2015;208
1;958;2015;207
1;289;2015;205
1;289;2015;204
1;958;2015;206
1;119;2021;208
1;125;2021;207
1;8;2021;205
1;8;2021;204
1;125;2021;206
1;584;2009;216
1;2295;2009;210
1;4382;2009;215
1;927;2009;211
1;927;2009;213
1;2295;2009;209
