OBJECTID_1;max;sum;vuosi;ASTA_ID
;1;294;2009;0
;1;307;2013;0
;1;318;2021;0
;1;1158;2009;1
;;;2013;1
;1;1351;2021;1
;1;1621;2009;3
;1;9837;2009;2
;1;1689;2013;3
;1;9881;2013;2
;1;1616;2021;3
;1;10060;2021;2
;1;3385;2009;7277
;1;5356;2009;4
;1;4037;2013;7277
;1;6114;2013;4
;1;4090;2021;7277
;1;5179;2021;4
;1;98;2009;7279
;1;2198;2009;5
;1;2785;2009;98
;1;2785;2009;97
;1;1688;2009;7274
;1;509;2009;91
;;;2012;7279
;;;2012;5
;;;2013;7279
;1;2340;2013;5
;1;683;2013;98
;1;683;2013;97
;1;1727;2013;7274
;1;110;2013;91
;1;97;2021;7279
;1;2335;2021;5
;1;1684;2021;98
;1;1684;2021;97
;1;2044;2021;7274
;1;727;2021;91
;1;1794;2009;6
;1;1927;2012;6
;1;2421;2013;6
;1;3319;2021;6
;1;5880;2009;9
;1;625;2009;7
;1;3439;2012;9
;1;717;2012;7
;1;5339;2013;9
;1;1162;2013;7
;1;5768;2017;9
;1;1538;2017;7
;;;2020;9
;;;2020;7
;1;4302;2021;9
;1;1396;2021;7
;1;2898;2009;8
;1;3381;2012;8
;1;4260;2013;8
;;;2020;8
;1;4976;2021;8
;1;1042;2009;9
;1;7736;2012;12
;1;1011;2012;9
;1;2161;2012;11
;1;8116;2013;12
;1;1148;2013;9
;1;2322;2013;11
;1;8141;2017;12
;1;1355;2017;9
;1;2338;2017;11
;;;2020;12
;;;2020;11
;1;7930;2021;12
;1;1320;2021;9
;1;2244;2021;11
;;;2009;10
;;;2010;10
;1;1339;2012;10
;1;1442;2013;10
;;;2020;10
;1;1111;2021;10
;1;2145;2010;13
;1;1591;2012;7280
;1;1443;2012;14
;1;1909;2012;13
;1;1686;2013;7280
;1;1491;2013;14
;1;2175;2013;13
;1;1007;2020;7280
;1;1614;2020;14
;;;2020;13
;1;901;2021;7280
;1;379;2021;14
;1;2148;2021;13
;1;3493;2012;7283
;1;1327;2012;18
;1;2377;2012;14
;1;3493;2012;7282
;1;5686;2012;21
;1;3493;2012;7281
;1;1327;2012;19
;1;10745;2012;16
;1;10745;2012;17
;1;1327;2012;20
;1;810;2012;15
;1;3986;2013;7283
;1;1589;2013;18
;1;2384;2013;14
;1;3986;2013;7282
;1;6309;2013;21
;1;3986;2013;7281
;1;1589;2013;19
;1;11732;2013;16
;1;11732;2013;17
;1;1589;2013;20
;1;842;2013;15
;1;3965;2020;7283
;1;1726;2020;18
;1;2498;2020;14
;1;3965;2020;7282
;1;6385;2020;21
;1;3965;2020;7281
;1;1726;2020;19
;1;11939;2020;16
;1;11939;2020;17
;1;1726;2020;20
;1;844;2020;15
;1;3529;2021;7283
;1;1651;2021;18
;1;142;2021;14
;1;3529;2021;7282
;;;2021;21
;1;3529;2021;7281
;1;1651;2021;19
;1;11664;2021;16
;1;11664;2021;17
;1;1651;2021;20
;1;831;2021;15
;1;1341;2010;29
;;;2010;22
;1;278;2010;24
;1;11537;2010;25
;1;11537;2010;26
;1;11537;2010;27
;1;278;2010;23
;1;1173;2012;29
;1;854;2012;22
;1;273;2012;24
;1;9412;2012;25
;1;9412;2012;26
;1;9412;2012;27
;1;273;2012;23
;1;1305;2013;29
;1;1033;2013;22
;1;263;2013;24
;1;9802;2013;25
;1;9802;2013;26
;1;9802;2013;27
;1;263;2013;23
;1;1403;2020;29
;1;1294;2020;22
;1;283;2020;24
;1;10997;2020;25
;1;10997;2020;26
;1;10997;2020;27
;1;283;2020;23
;;;2021;29
;;;2021;22
;;;2021;24
;;;2021;25
;;;2021;26
;;;2021;27
;;;2021;23
;1;3127;2010;28
;1;2683;2012;28
;1;2854;2013;28
;1;2910;2017;28
;1;2582;2020;28
;;;2021;28
;1;2389;2012;30
;1;2262;2014;30
;1;3000;2017;30
;;;2018;30
;1;238;2013;31
;1;253;2018;31
;1;406;2012;46
;1;1197;2012;44
;1;1197;2012;45
;1;890;2012;32
;1;3412;2012;35
;1;3412;2012;33
;1;3412;2012;34
;1;394;2014;46
;1;1094;2014;44
;1;1094;2014;45
;1;858;2014;32
;1;3172;2014;35
;1;3172;2014;33
;1;3172;2014;34
;1;338;2012;41
;1;1136;2012;38
;1;3806;2012;37
;1;3806;2012;36
;1;1136;2012;39
;1;560;2012;40
;1;399;2014;41
;1;1183;2014;38
;1;3244;2014;37
;1;3244;2014;36
;1;1183;2014;39
;1;672;2014;40
;;;2018;41
;;;2018;38
;;;2018;37
;;;2018;36
;;;2018;39
;;;2018;40
;1;280;2012;47
;1;1417;2012;42
;1;1621;2012;44
;1;1621;2012;45
;1;253;2012;46
;1;667;2012;43
;1;252;2014;47
;1;1270;2014;42
;1;1434;2014;44
;1;1434;2014;45
;1;232;2014;46
;1;646;2014;43
;1;68;2013;46
;1;253;2013;47
;1;149;2013;46
;1;2401;2012;48
;1;2235;2013;48
;1;2195;2014;48
;;;2018;48
;1;3198;2012;51
;1;3600;2012;49
;1;2028;2013;51
;1;3620;2013;49
;;;2014;51
;;;2014;49
;;;2015;51
;;;2015;49
;1;161;2012;50
;1;145;2014;50
;;;2015;50
;;;2021;50
;1;2150;2011;53
;1;247;2011;52
;;;2013;53
;;;2013;52
;1;3271;2018;53
;1;409;2018;52
;1;3832;2012;7286
;1;3832;2012;7285
;1;1358;2012;54
;1;2631;2013;7286
;1;2631;2013;7285
;1;1356;2013;54
;1;2985;2018;7286
;1;2985;2018;7285
;1;1374;2018;54
;1;2924;2019;7286
;1;2924;2019;7285
;1;1373;2019;54
;1;3145;2012;56
;1;3145;2012;55
;1;3264;2013;56
;1;3264;2013;55
;;;2015;56
;;;2015;55
;;;2018;56
;;;2018;55
;1;4240;2019;56
;1;4240;2019;55
;1;7700;2012;7289
;1;8448;2012;58
;1;2878;2012;57
;1;7700;2012;7287
;1;7700;2012;7288
;1;7688;2014;7289
;1;5803;2014;58
;1;2981;2014;57
;1;7688;2014;7287
;1;7688;2014;7288
;1;7973;2015;7289
;1;6327;2015;58
;1;3068;2015;57
;1;7973;2015;7287
;1;7973;2015;7288
;1;8135;2019;7289
;1;6419;2019;58
;1;3194;2019;57
;1;8135;2019;7287
;1;8135;2019;7288
;;;2021;7289
;;;2021;58
;;;2021;57
;;;2021;7287
;;;2021;7288
;1;395;2012;58
;1;380;2013;58
;1;7547;2013;7289
;1;5661;2013;58
;1;7547;2013;7288
;1;7547;2013;7287
;1;389;2014;58
;1;413;2015;58
;1;421;2019;58
;1;1644;2013;60
;1;1054;2013;59
;1;1785;2018;60
;1;1428;2018;59
;1;1679;2019;60
;1;1380;2019;59
;1;293;2012;7291
;1;9464;2012;70
;1;543;2012;7290
;;;2012;62
;1;1191;2012;66
;1;1202;2012;61
;1;1191;2012;67
;1;9464;2012;69
;1;300;2013;7291
;1;8643;2013;70
;1;527;2013;7290
;;;2013;62
;1;1067;2013;66
;1;832;2013;61
;1;1067;2013;67
;1;8643;2013;69
;;;2015;7291
;;;2015;70
;;;2015;7290
;;;2015;62
;;;2015;66
;;;2015;61
;;;2015;67
;;;2015;69
;1;320;2018;7291
;;;2018;70
;1;473;2018;7290
;1;3;2018;62
;;;2018;66
;1;903;2018;61
;;;2018;67
;;;2018;69
;1;297;2019;7291
;1;3252;2019;70
;1;465;2019;7290
;1;3;2019;62
;1;1284;2019;66
;1;876;2019;61
;1;1284;2019;67
;1;3252;2019;69
;1;4068;2012;64
;1;4068;2012;63
;1;3857;2013;64
;1;3857;2013;63
;1;4587;2018;64
;1;4587;2018;63
;1;4661;2019;64
;1;4661;2019;63
;1;6206;2014;68
;1;5569;2014;65
;1;3758;2015;68
;1;5662;2015;65
;1;5250;2019;68
;1;6459;2019;65
;;;2021;68
;;;2021;65
;1;8833;2008;72
;1;1016;2008;71
;1;9527;2018;72
;1;1587;2018;71
;1;8902;2021;72
;1;1420;2021;71
;1;2754;2009;76
;;;2009;75
;1;2793;2009;74
;1;4824;2009;73
;1;3242;2013;76
;;;2013;75
;1;2571;2013;74
;1;2957;2013;73
;1;2672;2021;76
;;;2021;75
;1;2279;2021;74
;1;2575;2021;73
;1;1493;2009;78
;1;195;2009;77
;1;1718;2013;78
;1;374;2013;77
;1;2011;2021;78
;1;404;2021;77
;1;822;2009;79
;1;939;2018;79
;1;919;2021;79
;1;888;2009;81
;1;571;2009;80
;1;1052;2013;81
;1;687;2013;80
;1;224;2021;81
;1;700;2021;80
;1;742;2009;87
;1;742;2009;86
;1;105;2009;82
;1;742;2009;85
;1;105;2009;84
;1;105;2009;83
;1;1321;2018;87
