max_total;sum_total;vuosi;ASTA_ID
1;428;2009;0
1;426;2013;0
1;423;2021;0
1;1762;2009;1
;;2013;1
1;1806;2021;1
1;1838;2009;3
1;12648;2009;2
1;1819;2013;3
1;12779;2013;2
1;1828;2021;3
1;12787;2021;2
1;5496;2009;7277
1;6943;2009;4
1;5465;2013;7277
1;6997;2013;4
1;5404;2021;7277
1;7017;2021;4
1;594;2009;7279
1;3260;2009;5
1;4975;2009;98
1;4975;2009;97
1;3404;2009;7274
1;1343;2009;91
;;2012;7279
;;2012;5
1;581;2013;7279
1;3259;2013;5
1;5013;2013;98
1;5013;2013;97
1;3394;2013;7274
1;1397;2013;91
1;593;2021;7279
1;3252;2021;5
1;5082;2021;98
1;5082;2021;97
1;3400;2021;7274
1;1406;2021;91
1;4707;2009;6
1;4538;2012;6
1;4924;2013;6
1;4960;2021;6
1;8558;2009;9
1;1858;2009;7
1;8162;2012;9
1;1711;2012;7
1;8787;2013;9
1;1882;2013;7
1;8839;2017;9
1;1883;2017;7
;;2020;9
;;2020;7
1;8782;2021;9
1;1811;2021;7
1;3606;2009;8
1;7154;2012;8
1;7506;2013;8
;;2020;8
1;7503;2021;8
1;1349;2009;9
1;10056;2012;12
1;1357;2012;9
1;2429;2012;11
1;10064;2013;12
1;1374;2013;9
1;2431;2013;11
1;10074;2017;12
1;1374;2017;9
1;2438;2017;11
;;2020;12
;;2020;11
1;10065;2021;12
1;1372;2021;9
1;2437;2021;11
;;2009;10
;;2010;10
1;2729;2012;10
1;2672;2013;10
;;2020;10
1;2751;2021;10
1;2637;2010;13
1;2144;2012;7280
1;1916;2012;14
1;2710;2012;13
1;2156;2013;7280
1;1893;2013;14
1;2708;2013;13
1;2167;2020;7280
1;1899;2020;14
;;2020;13
1;2162;2021;7280
1;1890;2021;14
1;2703;2021;13
1;9808;2012;7283
1;2531;2012;18
1;2746;2012;14
1;9808;2012;7282
1;7102;2012;21
1;9808;2012;7281
1;2531;2012;19
1;13492;2012;16
1;13492;2012;17
1;2531;2012;20
1;879;2012;15
1;9777;2013;7283
1;2517;2013;18
1;2701;2013;14
1;9777;2013;7282
1;7225;2013;21
1;9777;2013;7281
1;2517;2013;19
1;13505;2013;16
1;13505;2013;17
1;2517;2013;20
1;871;2013;15
1;9874;2020;7283
1;2532;2020;18
1;2750;2020;14
1;9874;2020;7282
1;7230;2020;21
1;9874;2020;7281
1;2532;2020;19
1;13510;2020;16
1;13510;2020;17
1;2532;2020;20
1;875;2020;15
1;9928;2021;7283
1;2531;2021;18
1;2548;2021;14
1;9928;2021;7282
;;2021;21
1;9928;2021;7281
1;2531;2021;19
1;13496;2021;16
1;13496;2021;17
1;2531;2021;20
1;875;2021;15
1;1774;2010;29
;;2010;22
1;357;2010;24
1;16087;2010;25
1;16087;2010;26
1;16087;2010;27
1;357;2010;23
1;1787;2012;29
1;4036;2012;22
1;372;2012;24
1;15909;2012;25
1;15909;2012;26
1;15909;2012;27
1;372;2012;23
1;1782;2013;29
1;4119;2013;22
1;368;2013;24
1;15947;2013;25
1;15947;2013;26
1;15947;2013;27
1;368;2013;23
1;1735;2020;29
1;4105;2020;22
1;370;2020;24
1;16203;2020;25
1;16203;2020;26
1;16203;2020;27
1;370;2020;23
;;2021;29
;;2021;22
;;2021;24
;;2021;25
;;2021;26
;;2021;27
;;2021;23
1;3251;2010;28
1;3230;2012;28
1;3242;2013;28
1;3253;2017;28
1;3253;2020;28
;;2021;28
1;5875;2012;30
1;6159;2014;30
1;6193;2017;30
;;2018;30
1;265;2013;31
1;268;2018;31
1;445;2012;46
1;9420;2012;44
1;9420;2012;45
