OBJECTID_1;FID_new;max;sum;vuosi
4428801;1954;1;1962;2010
4428801;1954;1;1884;2013
4420968;1953;1;1006;2012
4420968;1953;1;1319;2013
4420968;1953;;;2015
4420968;1953;;;2020
4420763;1952;1;1505;2012
4420763;1952;1;2191;2013
4420763;1952;;;2015
4420763;1952;;;2020
4418917;1951;1;1624;2012
4418917;1951;1;1742;2013
4418917;1951;1;1421;2020
4418916;1950;1;2255;2012
4418916;1950;1;2538;2013
4418916;1950;1;2252;2020
4417078;1949;1;3073;2012
4417078;1949;1;3903;2013
4417078;1949;1;2344;2019
4417078;1949;;;2020
4416988;1948;1;2104;2012
4416988;1948;1;2470;2013
4416988;1948;1;963;2019
4416988;1948;;;2020
4411248;1947;1;2473;2011
4411248;1947;1;2086;2016
4411248;1947;1;2901;2017
4411248;1947;1;2647;2018
4409567;1946;1;1633;2011
4409567;1946;1;1560;2016
4409567;1946;1;1698;2017
4409567;1946;1;415;2018
4409567;1946;;;2020
4386290;1945;1;2771;2011
4386290;1945;1;485;2016
4386290;1945;1;711;2017
4386290;1945;1;582;2018
4386099;1944;1;1970;2011
4386099;1944;1;2015;2016
4386099;1944;1;2488;2017
4386099;1944;1;960;2018
4386098;1943;1;1838;2011
4386098;1943;1;1790;2016
4386098;1943;1;1977;2017
4386098;1943;1;357;2018
4382081;1942;1;2005;2011
4382081;1942;1;2150;2015
4382081;1942;1;980;2017
4382081;1942;1;745;2018
4382081;1942;1;971;2021
4382014;1941;1;1921;2011
4382014;1941;1;2051;2015
4382014;1941;1;920;2017
4382014;1941;1;695;2018
4382014;1941;1;913;2021
4367750;1940;1;3011;2011
4367750;1940;1;2981;2015
4367750;1940;1;3300;2017
4367750;1940;1;3132;2018
4367750;1940;1;3262;2021
4367749;1939;1;1093;2011
4367749;1939;1;1076;2015
4367749;1939;1;1156;2017
4367749;1939;1;1145;2018
4367749;1939;1;1153;2021
4367566;1938;1;2;2011
4367566;1938;1;6;2015
4367566;1938;1;9;2017
4367566;1938;1;8;2018
4367566;1938;1;8;2021
4367533;1937;1;2689;2011
4367533;1937;1;897;2015
4367533;1937;1;1148;2017
4367533;1937;1;1127;2018
4367533;1937;1;1065;2021
4367524;1936;1;4219;2011
4367524;1936;1;4560;2015
4367524;1936;1;3290;2017
4367524;1936;1;3048;2018
4367524;1936;1;3085;2021
4364478;1935;1;2372;2011
4364478;1935;1;2333;2015
4364478;1935;1;1735;2017
4364478;1935;1;1592;2018
4364478;1935;1;1385;2021
4360755;1934;1;3077;2011
4360755;1934;1;3023;2015
4360755;1934;1;3096;2017
4360755;1934;1;45;2018
4360755;1934;1;162;2021
4354855;1933;1;4390;2011
4354855;1933;1;4342;2015
4354855;1933;1;1415;2017
4354855;1933;1;1037;2018
4354855;1933;1;1077;2021
4354810;1932;1;2467;2011
4354810;1932;1;2293;2015
4354810;1932;1;2188;2017
4354810;1932;1;44;2018
4354810;1932;1;62;2021
4339636;1931;1;3296;2011
4339636;1931;1;2202;2015
4339636;1931;1;2313;2017
4339636;1931;1;2132;2018
4339636;1931;1;2161;2021
4339630;1930;1;913;2011
4339630;1930;1;879;2015
