ASTA_ID;pre_raster;vuosi;F5m_sum;sum_total;canopy_per;Join_Count;TARGET_FID;JOIN_FID;OBJECTID_1;OBJECTID_2;objectid;forestused;declaratio;processing;declarat_1;declarat_2;declarat_3;standnumbe;standnum_1;area;maingroup;subgroup;fertilityc;soiltype;declarat_4;declarat_5;meanage;meandiamet;habitatcod;detailedha;otherhabit;cuttingpur;cuttingrea;regenerati;declsoilpr;declregene;habitatope;forestdama;completion;regensoilp;regenera_1;regenera_2;regenera_3;regenera_4;declarat_6;declarat_7;standarriv;standarr_1;regenera_5;datasource;creationti;updatetime;Shape_Leng;Shape_Area;Cutting_ye;ASTA_ID_1
0;1;2009;1567;2243;69,86179224250;1;0;1;244;244;18537868;1-2017-17183;;1;40;2;;61;0;0,70000000000;1;1;3;20;8;2;95;32,00000000000;0;0;0;3;5;0;523;303;0;0;0;0;0;0;0;0,00000000000;2017-02-15;2;2017-02-15;2;;0;2017-02-26;2017-02-26;399,45009578700;7192,65015004000;2017,00000000000;0,00000000000
0;2;2015;1452;2285;63,54485776810;1;0;1;244;244;18537868;1-2017-17183;;1;40;2;;61;0;0,70000000000;1;1;3;20;8;2;95;32,00000000000;0;0;0;3;5;0;523;303;0;0;0;0;0;0;0;0,00000000000;2017-02-15;2;2017-02-15;2;;0;2017-02-26;2017-02-26;399,45009578700;7192,65015004000;2017,00000000000;0,00000000000
0;3;2017;1049;2293;45,74792847800;1;0;1;244;244;18537868;1-2017-17183;;1;40;2;;61;0;0,70000000000;1;1;3;20;8;2;95;32,00000000000;0;0;0;3;5;0;523;303;0;0;0;0;0;0;0;0,00000000000;2017-02-15;2;2017-02-15;2;;0;2017-02-26;2017-02-26;399,45009578700;7192,65015004000;2017,00000000000;0,00000000000
0;4;2020;960;2286;41,99475065620;1;0;1;244;244;18537868;1-2017-17183;;1;40;2;;61;0;0,70000000000;1;1;3;20;8;2;95;32,00000000000;0;0;0;3;5;0;523;303;0;0;0;0;0;0;0;0,00000000000;2017-02-15;2;2017-02-15;2;;0;2017-02-26;2017-02-26;399,45009578700;7192,65015004000;2017,00000000000;0,00000000000
3;5;2009;2706;2922;92,60780287470;1;3;23;1806;1806;17797638;1-2016-54239;;1;40;2;;423;0;0,50000000000;1;1;2;10;8;2;80;30,00000000000;1;1;0;3;5;0;523;302;0;0;0;0;0;0;0;0,00000000000;2016-07-12;2;2016-07-12;2;;0;2016-07-23;2016-07-23;350,92457495900;4629,65161849000;2016,00000000000;3,00000000000
1;6;2009;1132;1496;75,66844919790;1;1;20;1711;1711;17797637;1-2016-54239;;1;40;2;;425;0;0,50000000000;1;1;3;10;8;2;80;30,00000000000;0;0;0;3;5;0;523;302;0;0;0;0;0;0;0;0,00000000000;2016-07-12;2;2016-07-12;2;;0;2016-07-23;2016-07-23;285,50281888600;4702,87346516000;2016,00000000000;1,00000000000
2;7;2009;75;274;27,37226277370;1;2;22;1803;1803;17245791;1-2016-17990;;1;40;2;;407;0;1,10000000000;0;0;3;10;7;2;0;0,00000000000;0;0;0;3;5;0;510;302;0;0;0;0;0;0;0;0,00000000000;2016-02-24;2;2016-02-24;2;;0;2016-03-06;2016-03-06;449,48362811700;10894,22481660000;2016,00000000000;2,00000000000
3;8;2015;2556;2874;88,93528183720;1;3;23;1806;1806;17797638;1-2016-54239;;1;40;2;;423;0;0,50000000000;1;1;2;10;8;2;80;30,00000000000;1;1;0;3;5;0;523;302;0;0;0;0;0;0;0;0,00000000000;2016-07-12;2;2016-07-12;2;;0;2016-07-23;2016-07-23;350,92457495900;4629,65161849000;2016,00000000000;3,00000000000
1;9;2015;1044;1490;70,06711409400;1;1;20;1711;1711;17797637;1-2016-54239;;1;40;2;;425;0;0,50000000000;1;1;3;10;8;2;80;30,00000000000;0;0;0;3;5;0;523;302;0;0;0;0;0;0;0;0,00000000000;2016-07-12;2;2016-07-12;2;;0;2016-07-23;2016-07-23;285,50281888600;4702,87346516000;2016,00000000000;1,00000000000
2;10;2015;82;273;30,03663003660;1;2;22;1803;1803;17245791;1-2016-17990;;1;40;2;;407;0;1,10000000000;0;0;3;10;7;2;0;0,00000000000;0;0;0;3;5;0;510;302;0;0;0;0;0;0;0;0,00000000000;2016-02-24;2;2016-02-24;2;;0;2016-03-06;2016-03-06;449,48362811700;10894,22481660000;2016,00000000000;2,00000000000
3;11;2017;954;2926;32,60423786740;1;3;23;1806;1806;17797638;1-2016-54239;;1;40;2;;423;0;0,50000000000;1;1;2;10;8;2;80;30,00000000000;1;1;0;3;5;0;523;302;0;0;0;0;0;0;0;0,00000000000;2016-07-12;2;2016-07-12;2;;0;2016-07-23;2016-07-23;350,92457495900;4629,65161849000;2016,00000000000;3,00000000000
1;12;2017;1014;1496;67,78074866310;1;1;20;1711;1711;17797637;1-2016-54239;;1;40;2;;425;0;0,50000000000;1;1;3;10;8;2;80;30,00000000000;0;0;0;3;5;0;523;302;0;0;0;0;0;0;0;0,00000000000;2016-07-12;2;2016-07-12;2;;0;2016-07-23;2016-07-23;285,50281888600;4702,87346516000;2016,00000000000;1,00000000000
2;13;2017;23;274;8,39416058394;1;2;22;1803;1803;17245791;1-2016-17990;;1;40;2;;407;0;1,10000000000;0;0;3;10;7;2;0;0,00000000000;0;0;0;3;5;0;510;302;0;0;0;0;0;0;0;0,00000000000;2016-02-24;2;2016-02-24;2;;0;2016-03-06;2016-03-06;449,48362811700;10894,22481660000;2016,00000000000;2,00000000000
3;14;2020;777;2926;26,55502392340;1;3;23;1806;1806;17797638;1-2016-54239;;1;40;2;;423;0;0,50000000000;1;1;2;10;8;2;80;30,00000000000;1;1;0;3;5;0;523;302;0;0;0;0;0;0;0;0,00000000000;2016-07-12;2;2016-07-12;2;;0;2016-07-23;2016-07-23;350,92457495900;4629,65161849000;2016,00000000000;3,00000000000
1;15;2020;880;1496;58,82352941180;1;1;20;1711;1711;17797637;1-2016-54239;;1;40;2;;425;0;0,50000000000;1;1;3;10;8;2;80;30,00000000000;0;0;0;3;5;0;523;302;0;0;0;0;0;0;0;0,00000000000;2016-07-12;2;2016-07-12;2;;0;2016-07-23;2016-07-23;285,50281888600;4702,87346516000;2016,00000000000;1,00000000000
2;16;2020;56;274;20,43795620440;1;2;22;1803;1803;17245791;1-2016-17990;;1;40;2;;407;0;1,10000000000;0;0;3;10;7;2;0;0,00000000000;0;0;0;3;5;0;510;302;0;0;0;0;0;0;0;0,00000000000;2016-02-24;2;2016-02-24;2;;0;2016-03-06;2016-03-06;449,48362811700;10894,22481660000;2016,00000000000;2,00000000000
11;17;2009;2816;3543;79,48066610220;1;7;29;7298;7298;6666343;1-2013-25764;;1;50;0;;304;0;2,60000000000;1;1;2;20;8;2;100;32,00000000000;0;0;0;3;5;0;523;302;0;0;0;0;0;0;0;0,00000000000;2013-02-27;2;2013-02-27;2;;0;2015-05-16;2015-05-16;776,23881168500;25957,87379840000;2013,00000000000;11,00000000000
5;18;2009;782;935;83,63636363640;1;4;26;7261;7262;18492722;1-2017-10451;;1;40;2;;317;0;0,60000000000;1;3;3;60;5;2;50;20,00000000000;0;0;0;3;5;0;510;302;0;0;0;0;0;0;0;0,00000000000;2017-01-27;2;2017-01-27;2;;0;2017-02-07;2017-02-07;547,70352556700;6160,26635003000;2017,00000000000;5,00000000000
4;19;2009;782;935;83,63636363640;1;4;25;7261;7261;18492721;1-2017-10451;;1;40;2;;316;0;1,20000000000;1;1;2;20;8;2;80;29,00000000000;0;0;0;3;5;0;523;302;0;0;0;0;0;0;0;0,00000000000;2017-01-27;2;2017-01-27;2;;0;2017-02-07;2017-02-07;528,20398828000;12425,32574990000;2017,00000000000;4,00000000000
7;20;2009;315;401;78,55361596010;1;5;26;7262;7262;18492722;1-2017-10451;;1;40;2;;317;0;0,60000000000;1;3;3;60;5;2;50;20,00000000000;0;0;0;3;5;0;510;302;0;0;0;0;0;0;0;0,00000000000;2017-01-27;2;2017-01-27;2;;0;2017-02-07;2017-02-07;547,70352556700;6160,26635003000;2017,00000000000;7,00000000000
9;21;2009;910;1304;69,78527607360;1;6;29;7296;7298;6666343;1-2013-25764;;1;50;0;;304;0;2,60000000000;1;1;2;20;8;2;100;32,00000000000;0;0;0;3;5;0;523;302;0;0;0;0;0;0;0;0,00000000000;2013-02-27;2;2013-02-27;2;;0;2015-05-16;2015-05-16;776,23881168500;25957,87379840000;2013,00000000000;9,00000000000
10;22;2009;2816;3543;79,48066610220;1;7;28;7298;7296;6666341;1-2013-25764;;1;50;0;;48;0;1,20000000000;1;1;2;20;8;2;100;32,00000000000;0;0;0;3;5;0;523;302;0;0;0;0;0;0;0;0,00000000000;2013-02-27;2;2013-02-27;2;;0;2015-05-16;2015-05-16;734,34122989600;12416,81160700000;2013,00000000000;10,00000000000
6;23;2009;315;401;78,55361596010;1;5;25;7262;7261;18492721;1-2017-10451;;1;40;2;;316;0;1,20000000000;1;1;2;20;8;2;80;29,00000000000;0;0;0;3;5;0;523;302;0;0;0;0;0;0;0;0,00000000000;2017-01-27;2;2017-01-27;2;;0;2017-02-07;2017-02-07;528,20398828000;12425,32574990000;2017,00000000000;6,00000000000
8;24;2009;910;1304;69,78527607360;1;6;28;7296;7296;6666341;1-2013-25764;;1;50;0;;48;0;1,20000000000;1;1;2;20;8;2;100;32,00000000000;0;0;0;3;5;0;523;302;0;0;0;0;0;0;0;0,00000000000;2013-02-27;2;2013-02-27;2;;0;2015-05-16;2015-05-16;734,34122989600;12416,81160700000;2013,00000000000;8,00000000000
11;25;2015;641;3610;17,75623268700;1;7;29;7298;7298;6666343;1-2013-25764;;1;50;0;;304;0;2,60000000000;1;1;2;20;8;2;100;32,00000000000;0;0;0;3;5;0;523;302;0;0;0;0;0;0;0;0,00000000000;2013-02-27;2;2013-02-27;2;;0;2015-05-16;2015-05-16;776,23881168500;25957,87379840000;2013,00000000000;11,00000000000
5;26;2015;821;951;86,33017875920;1;4;26;7261;7262;18492722;1-2017-10451;;1;40;2;;317;0;0,60000000000;1;3;3;60;5;2;50;20,00000000000;0;0;0;3;5;0;510;302;0;0;0;0;0;0;0;0,00000000000;2017-01-27;2;2017-01-27;2;;0;2017-02-07;2017-02-07;547,70352556700;6160,26635003000;2017,00000000000;5,00000000000
4;27;2015;821;951;86,33017875920;1;4;25;7261;7261;18492721;1-2017-10451;;1;40;2;;316;0;1,20000000000;1;1;2;20;8;2;80;29,00000000000;0;0;0;3;5;0;523;302;0;0;0;0;0;0;0;0,00000000000;2017-01-27;2;2017-01-27;2;;0;2017-02-07;2017-02-07;528,20398828000;12425,32574990000;2017,00000000000;4,00000000000
7;28;2015;342;402;85,07462686570;1;5;26;7262;7262;18492722;1-2017-10451;;1;40;2;;317;0;0,60000000000;1;3;3;60;5;2;50;20,00000000000;0;0;0;3;5;0;510;302;0;0;0;0;0;0;0;0,00000000000;2017-01-27;2;2017-01-27;2;;0;2017-02-07;2017-02-07;547,70352556700;6160,26635003000;2017,00000000000;7,00000000000
9;29;2015;345;1328;25,97891566270;1;6;29;7296;7298;6666343;1-2013-25764;;1;50;0;;304;0;2,60000000000;1;1;2;20;8;2;100;32,00000000000;0;0;0;3;5;0;523;302;0;0;0;0;0;0;0;0,00000000000;2013-02-27;2;2013-02-27;2;;0;2015-05-16;2015-05-16;776,23881168500;25957,87379840000;2013,00000000000;9,00000000000
10;30;2015;641;3610;17,75623268700;1;7;28;7298;7296;6666341;1-2013-25764;;1;50;0;;48;0;1,20000000000;1;1;2;20;8;2;100;32,00000000000;0;0;0;3;5;0;523;302;0;0;0;0;0;0;0;0,00000000000;2013-02-27;2;2013-02-27;2;;0;2015-05-16;2015-05-16;734,34122989600;12416,81160700000;2013,00000000000;10,00000000000
6;31;2015;342;402;85,07462686570;1;5;25;7262;7261;18492721;1-2017-10451;;1;40;2;;316;0;1,20000000000;1;1;2;20;8;2;80;29,00000000000;0;0;0;3;5;0;523;302;0;0;0;0;0;0;0;0,00000000000;2017-01-27;2;2017-01-27;2;;0;2017-02-07;2017-02-07;528,20398828000;12425,32574990000;2017,00000000000;6,00000000000
8;32;2015;345;1328;25,97891566270;1;6;28;7296;7296;6666341;1-2013-25764;;1;50;0;;48;0;1,20000000000;1;1;2;20;8;2;100;32,00000000000;0;0;0;3;5;0;523;302;0;0;0;0;0;0;0;0,00000000000;2013-02-27;2;2013-02-27;2;;0;2015-05-16;2015-05-16;734,34122989600;12416,81160700000;2013,00000000000;8,00000000000
