ASTA_ID;post_raster_id;vuosi;5m_sum;sum_total;Canopy _percent
0;9455;2009;294;428;68.6915887850467
0;9456;2013;307;426;72.0657276995305
0;9457;2021;318;423;75.177304964539
1;9458;2009;1158;1762;65.7207718501703
1;9459;2013;;;0
1;9460;2021;1351;1806;74.8062015503876
2;9462;2009;9837;12648;77.7751423149905
2;9464;2013;9881;12779;77.3221691838172
2;9466;2021;10060;12787;78.6736529287558
3;9461;2009;1621;1838;88.1936887921654
3;9463;2013;1689;1819;92.8532160527762
3;9465;2021;1616;1828;88.4026258205689
4;9468;2009;5356;6943;77.1424456286908
4;9470;2013;6114;6997;87.3803058453623
4;9472;2021;5179;7017;73.8064700014251
5;9474;2009;2198;3260;67.4233128834356
5;9480;2012;;;0
5;9482;2013;2340;3259;71.8011660018411
5;9488;2021;2335;3252;71.8019680196802
6;9493;2009;1794;4707;38.1134480560867
6;9494;2012;1927;4538;42.4636403702071
6;9495;2013;2421;4924;49.1673436230707
6;9496;2021;3319;4960;66.9153225806452
7;9498;2009;625;1858;33.6383207750269
7;9500;2012;717;1711;41.9053185271771
7;9502;2013;1162;1882;61.7428267800213
7;9504;2017;1538;1883;81.6781731279873
7;9506;2020;;;0
7;9508;2021;1396;1811;77.0844837106571
8;9509;2009;2898;3606;80.3660565723794
8;9510;2012;3381;7154;47.2602739726027
8;9511;2013;4260;7506;56.7545963229416
8;9512;2020;;;0
8;9513;2021;4976;7503;66.3201386112222
9;9497;2009;5880;8558;68.7076419724235
9;9499;2012;3439;8162;42.1342808135261
9;9501;2013;5339;8787;60.7602139524297
9;9503;2017;5768;8839;65.2562507070936
9;9505;2020;;;0
9;9507;2021;4302;8782;48.9865634251879
9;9514;2009;1042;1349;77.2424017790956
9;9516;2012;1011;1357;74.5025792188652
9;9519;2013;1148;1374;83.551673944687
9;9522;2017;1355;1374;98.6171761280931
9;9528;2021;1320;1372;96.2099125364432
10;9530;2009;;;0
10;9531;2010;;;0
10;9532;2012;1339;2729;49.0655917918652
10;9533;2013;1442;2672;53.9670658682635
10;9534;2020;;;0
10;9535;2021;1111;2751;40.385314431116
11;9517;2012;2161;2429;88.9666529435982
11;9520;2013;2322;2431;95.5162484574249
11;9523;2017;2338;2438;95.8982772764561
11;9526;2020;;;0
11;9529;2021;2244;2437;92.080426754206
12;9515;2012;7736;10056;76.9291964996022
12;9518;2013;8116;10064;80.6438791732909
12;9521;2017;8141;10074;80.8119912646417
12;9524;2020;;;0
12;9527;2021;7930;10065;78.7878787878788
13;9536;2010;2145;2637;81.3424345847554
13;9539;2012;1909;2710;70.4428044280443
