ASTA_ID;pre_raster_id;vuosi;5m_sum;sum_total;canopy_percent
0;1;2009;1567;2243;69.8617922425323
0;2;2015;1452;2285;63.5448577680525
0;3;2017;1049;2293;45.7479284779764
0;4;2020;960;2286;41.994750656168
3;5;2009;2706;2922;92.6078028747433
1;6;2009;1132;1496;75.668449197861
2;7;2009;75;274;27.3722627737226
3;8;2015;2556;2874;88.9352818371608
1;9;2015;1044;1490;70.0671140939597
2;10;2015;82;273;30.03663003663
3;11;2017;954;2926;32.6042378673958
1;12;2017;1014;1496;67.7807486631016
2;13;2017;23;274;8.39416058394161
3;14;2020;777;2926;26.555023923445
1;15;2020;880;1496;58.8235294117647
2;16;2020;56;274;20.4379562043796
11;17;2009;2816;3543;79.4806661021733
5;18;2009;782;935;83.6363636363636
4;19;2009;782;935;83.6363636363636
7;20;2009;315;401;78.5536159600997
9;21;2009;910;1304;69.7852760736196
10;22;2009;2816;3543;79.4806661021733
6;23;2009;315;401;78.5536159600997
8;24;2009;910;1304;69.7852760736196
11;25;2015;641;3610;17.7562326869806
5;26;2015;821;951;86.3301787592008
4;27;2015;821;951;86.3301787592008
7;28;2015;342;402;85.0746268656716
9;29;2015;345;1328;25.9789156626506
10;30;2015;641;3610;17.7562326869806
6;31;2015;342;402;85.0746268656716
8;32;2015;345;1328;25.9789156626506
11;33;2017;1330;3617;36.7708045341443
5;34;2017;492;953;51.6264428121721
4;35;2017;492;953;51.6264428121721
7;36;2017;208;402;51.7412935323383
9;37;2017;539;1328;40.5873493975904
10;38;2017;1330;3617;36.7708045341443
6;39;2017;208;402;51.7412935323383
8;40;2017;539;1328;40.5873493975904
11;41;2020;1180;3583;32.9332961205694
5;42;2020;497;942;52.76008492569
4;43;2020;497;942;52.76008492569
7;44;2020;202;400;50.5
9;45;2020;514;1325;38.7924528301887
10;46;2020;1180;3583;32.9332961205694
6;47;2020;202;400;50.5
8;48;2020;514;1325;38.7924528301887
12;49;2009;1567;2253;69.5517088326676
12;50;2017;2100;2296;91.4634146341463
12;51;2020;1822;2231;81.6674137158225
13;52;2009;409;520;78.6538461538462
13;53;2017;8;523;1.52963671128107
13;54;2020;8;522;1.53256704980843
22;55;2009;721;1509;47.7799867461895
18;56;2009;1316;1766;74.5186862967157
14;57;2009;539;818;65.8924205378973
21;58;2009;721;1509;47.7799867461895
19;59;2009;721;1509;47.7799867461895
16;60;2009;872;1124;77.5800711743772
17;61;2009;1665;1736;95.9101382488479
20;62;2009;721;1509;47.7799867461895
15;63;2009;720;1010;71.2871287128713
16;64;2015;933;1206;77.363184079602
14;65;2015;511;770;66.3636363636364
15;66;2015;22;1032;2.13178294573643
22;67;2017;204;1509;13.5188866799205
18;68;2017;1636;1847;88.5760693015701
14;69;2017;757;865;87.514450867052
21;70;2017;204;1509;13.5188866799205
19;71;2017;204;1509;13.5188866799205
16;72;2017;443;1202;36.8552412645591
17;73;2017;61;1782;3.42312008978676
20;74;2017;204;1509;13.5188866799205
15;75;2017;225;1102;20.4174228675136
22;76;2020;72;1504;4.78723404255319
18;77;2020;1643;1846;89.0032502708559
14;78;2020;685;841;81.4506539833531
21;79;2020;72;1504;4.78723404255319
19;80;2020;72;1504;4.78723404255319
16;81;2020;396;1178;33.616298811545
17;82;2020;65;1747;3.72066399542072
20;83;2020;72;1504;4.78723404255319
15;84;2020;205;1086;18.8766114180479
872;85;2010;1742;1768;98.5294117647059
871;86;2010;1742;1768;98.5294117647059
24;87;2010;1742;1768;98.5294117647059
23;88;2010;1742;1768;98.5294117647059
872;89;2012;1557;1701;91.5343915343915
871;90;2012;1557;1701;91.5343915343915
24;91;2012;1557;1701;91.5343915343915
23;92;2012;1557;1701;91.5343915343915
872;93;2018;;;0
871;94;2018;;;0
24;95;2018;;;0
23;96;2018;;;0
960;97;2010;2065;2251;91.737005775211
26;98;2010;10133;10327;98.1214292630967
956;99;2010;10133;10327;98.1214292630967
959;100;2010;2065;2251;91.737005775211
27;101;2010;10133;10327;98.1214292630967
25;102;2010;10133;10327;98.1214292630967
958;103;2010;2065;2251;91.737005775211
955;104;2010;10133;10327;98.1214292630967
957;105;2010;10133;10327;98.1214292630967
960;106;2012;1902;2215;85.8690744920993
26;107;2012;8855;10167;87.0955050654077
956;108;2012;8855;10167;87.0955050654077
959;109;2012;1902;2215;85.8690744920993
27;110;2012;8855;10167;87.0955050654077
25;111;2012;8855;10167;87.0955050654077
958;112;2012;1902;2215;85.8690744920993
955;113;2012;8855;10167;87.0955050654077
957;114;2012;8855;10167;87.0955050654077
960;115;2013;2027;2240;90.4910714285714
26;116;2013;9417;10215;92.1879588839941
956;117;2013;9417;10215;92.1879588839941
959;118;2013;2027;2240;90.4910714285714
27;119;2013;9417;10215;92.1879588839941
25;120;2013;9417;10215;92.1879588839941
958;121;2013;2027;2240;90.4910714285714
955;122;2013;9417;10215;92.1879588839941
957;123;2013;9417;10215;92.1879588839941
960;124;2017;333;2250;14.8
26;125;2017;9938;10345;96.065732237796
956;126;2017;9938;10345;96.065732237796
959;127;2017;333;2250;14.8
27;128;2017;9938;10345;96.065732237796
25;129;2017;9938;10345;96.065732237796
958;130;2017;333;2250;14.8
955;131;2017;9938;10345;96.065732237796
957;132;2017;9938;10345;96.065732237796
960;133;2020;184;2250;8.17777777777778
26;134;2020;281;10278;2.73399494064993
956;135;2020;281;10278;2.73399494064993
959;136;2020;184;2250;8.17777777777778
27;137;2020;281;10278;2.73399494064993
25;138;2020;281;10278;2.73399494064993
958;139;2020;184;2250;8.17777777777778
955;140;2020;281;10278;2.73399494064993
957;141;2020;281;10278;2.73399494064993
960;142;2021;;;0
26;143;2021;;;0
956;144;2021;;;0
959;145;2021;;;0
27;146;2021;;;0
25;147;2021;;;0
958;148;2021;;;0
955;149;2021;;;0
957;150;2021;;;0
33;151;2009;;;0
32;152;2009;466;724;64.3646408839779
31;153;2009;49;84;58.3333333333333
29;154;2009;566;1066;53.0956848030019
30;155;2009;49;84;58.3333333333333
28;156;2009;566;1066;53.0956848030019
33;157;2017;164;381;43.0446194225722
32;158;2017;910;5774;15.7603048146865
31;159;2017;73;84;86.9047619047619
29;160;2017;957;1258;76.0731319554849
30;161;2017;73;84;86.9047619047619
28;162;2017;957;1258;76.0731319554849
33;163;2020;81;342;23.6842105263158
32;164;2020;639;5614;11.3822586391165
31;165;2020;65;84;77.3809523809524
29;166;2020;877;1247;70.3287890938252
30;167;2020;65;84;77.3809523809524
28;168;2020;877;1247;70.3287890938252
34;169;2009;737;1073;68.685927306617
34;170;2017;1087;1116;97.4014336917563
41;171;2009;2421;2608;92.829754601227
35;172;2009;1040;1078;96.4749536178108
37;173;2009;703;772;91.0621761658031
36;174;2009;826;1075;76.8372093023256
38;175;2009;148;152;97.3684210526316
39;176;2009;2570;3301;77.8551953953347
40;177;2009;5673;6093;93.1068439192516
41;178;2017;660;2607;25.3164556962025
35;179;2017;276;1079;25.5792400370714
37;180;2017;54;772;6.99481865284974
36;181;2017;68;1200;5.66666666666667
38;182;2017;107;152;70.3947368421053
39;183;2017;2775;3302;84.0399757722592
40;184;2017;1176;6092;19.3040052527905
41;185;2012;2298;2596;88.5208012326656
39;186;2012;;;0
40;187;2012;5917;6074;97.4152123806388
47;188;2009;161;225;71.5555555555556
42;189;2009;340;362;93.9226519337017
44;190;2009;321;337;95.2522255192878
45;191;2009;321;337;95.2522255192878
46;192;2009;1491;1914;77.8996865203762
43;193;2009;340;362;93.9226519337017
47;194;2012;147;227;64.7577092511013
42;195;2012;362;362;100
44;196;2012;337;337;100
45;197;2012;337;337;100
46;198;2012;1663;1958;84.9336057201226
43;199;2012;362;362;100
47;200;2015;137;226;60.6194690265487
42;201;2015;361;362;99.7237569060774
44;202;2015;337;337;100
45;203;2015;337;337;100
46;204;2015;1654;1964;84.2158859470468
43;205;2015;361;362;99.7237569060774
47;206;2019;33;211;15.6398104265403
42;207;2019;274;350;78.2857142857143
44;208;2019;254;325;78.1538461538462
45;209;2019;254;325;78.1538461538462
46;210;2019;1020;1922;53.0697190426639
43;211;2019;274;350;78.2857142857143
48;212;2009;889;912;97.4780701754386
48;213;2012;909;916;99.235807860262
55;214;2009;5348;5561;96.1697536414314
49;215;2009;104;105;99.047619047619
54;216;2009;5348;5561;96.1697536414314
52;217;2009;9803;11414;85.8857543367794
51;218;2009;9803;11414;85.8857543367794
50;219;2009;104;105;99.047619047619
53;220;2009;9803;11414;85.8857543367794
55;221;2015;13;3508;0.370581527936146
49;222;2015;;88;0
54;223;2015;13;3508;0.370581527936146
52;224;2015;939;11178;8.40042941492217
51;225;2015;939;11178;8.40042941492217
50;226;2015;;88;0
53;227;2015;939;11178;8.40042941492217
55;228;2017;54;5576;0.968436154949785
49;229;2017;;105;0
54;230;2017;54;5576;0.968436154949785
52;231;2017;1570;11498;13.6545486171508
51;232;2017;1570;11498;13.6545486171508
50;233;2017;;105;0
53;234;2017;1570;11498;13.6545486171508
59;235;2009;2553;2765;92.3327305605787
56;236;2009;4;4;100
58;237;2009;2553;2765;92.3327305605787
57;238;2009;4;4;100
59;239;2015;2462;2751;89.4947291893857
56;240;2015;;4;0
58;241;2015;2462;2751;89.4947291893857
57;242;2015;;4;0
59;243;2019;204;2605;7.83109404990403
56;244;2019;;4;0
58;245;2019;204;2605;7.83109404990403
57;246;2019;;4;0
60;247;2009;1748;2330;75.0214592274678
60;248;2015;1758;2317;75.8739749676306
60;249;2019;689;2183;31.5620705451214
64;250;2008;453;467;97.0021413276231
63;251;2008;453;467;97.0021413276231
62;252;2008;2468;4422;55.8118498417006
61;253;2008;2468;4422;55.8118498417006
64;254;2019;;466;0
63;255;2019;;466;0
62;256;2019;69;4334;1.59206275957545
61;257;2019;69;4334;1.59206275957545
65;258;2008;1485;1643;90.3834449178332
65;259;2015;;;0
65;260;2019;164;1625;10.0923076923077
67;261;2008;1752;1901;92.1620199894792
66;262;2008;2061;2531;81.430264717503
67;263;2015;;;0
66;264;2015;;;0
67;265;2019;329;1865;17.6407506702413
66;266;2019;1116;2612;42.7258805513017
72;267;2008;1066;1483;71.8813216453135
70;268;2008;4668;8026;58.1609768253177
71;269;2008;4668;8026;58.1609768253177
68;270;2008;1495;2240;66.7410714285714
69;271;2008;1495;2240;66.7410714285714
72;272;2019;862;1504;57.313829787234
70;273;2019;1701;8410;20.2259215219976
71;274;2019;1701;8410;20.2259215219976
68;275;2019;563;2251;25.0111061750333
69;276;2019;563;2251;25.0111061750333
73;277;2010;41;101;40.5940594059406
73;278;2019;34;102;33.3333333333333
103;279;2008;4248;5112;83.0985915492958
98;280;2008;2487;2889;86.0851505711319
83;281;2008;423;423;100
95;282;2008;2487;2889;86.0851505711319
87;283;2008;2714;2765;98.1555153707052
90;284;2008;1611;2586;62.2969837587007
80;285;2008;575;584;98.458904109589
93;286;2008;161;240;67.0833333333333
88;287;2008;2714;2765;98.1555153707052
94;288;2008;161;240;67.0833333333333
74;289;2008;2912;3064;95.0391644908616
85;290;2008;423;423;100
75;291;2008;1976;2568;76.9470404984424
81;292;2008;575;584;98.458904109589
102;293;2008;4248;5112;83.0985915492958
99;294;2008;4248;5112;83.0985915492958
76;295;2008;3340;3420;97.6608187134503
78;296;2008;1800;1858;96.8783638320775
91;297;2008;1611;2586;62.2969837587007
79;298;2008;575;584;98.458904109589
82;299;2008;575;584;98.458904109589
86;300;2008;2714;2765;98.1555153707052
92;301;2008;1611;2586;62.2969837587007
89;302;2008;1312;1329;98.7208427389014
77;303;2008;3340;3420;97.6608187134503
101;304;2008;4248;5112;83.0985915492958
100;305;2008;4248;5112;83.0985915492958
97;306;2008;2487;2889;86.0851505711319
96;307;2008;2487;2889;86.0851505711319
84;308;2008;423;423;100
103;309;2011;1189;1321;90.0075700227101
98;310;2011;701;760;92.2368421052632
83;311;2011;114;114;100
95;312;2011;701;760;92.2368421052632
87;313;2011;696;706;98.5835694050992
90;314;2011;517;685;75.4744525547445
80;315;2011;159;161;98.7577639751553
93;316;2011;69;80;86.25
88;317;2011;696;706;98.5835694050992
94;318;2011;69;80;86.25
74;319;2011;814;827;98.4280532043531
85;320;2011;114;114;100
75;321;2011;663;701;94.5791726105564
81;322;2011;159;161;98.7577639751553
102;323;2011;1189;1321;90.0075700227101
99;324;2011;1189;1321;90.0075700227101
76;325;2011;905;908;99.6696035242291
78;326;2011;498;503;99.0059642147117
91;327;2011;517;685;75.4744525547445
79;328;2011;159;161;98.7577639751553
82;329;2011;159;161;98.7577639751553
86;330;2011;696;706;98.5835694050992
92;331;2011;517;685;75.4744525547445
89;332;2011;353;353;100
77;333;2011;905;908;99.6696035242291
101;334;2011;1189;1321;90.0075700227101
100;335;2011;1189;1321;90.0075700227101
97;336;2011;701;760;92.2368421052632
96;337;2011;701;760;92.2368421052632
84;338;2011;114;114;100
103;339;2019;647;5003;12.9322406556066
98;340;2019;373;2638;14.1394996209249
83;341;2019;187;408;45.8333333333333
95;342;2019;373;2638;14.1394996209249
87;343;2019;500;2674;18.698578908003
90;344;2019;1275;2603;48.9819439108721
80;345;2019;350;582;60.1374570446735
93;346;2019;43;241;17.8423236514523
88;347;2019;500;2674;18.698578908003
94;348;2019;43;241;17.8423236514523
74;349;2019;293;3021;9.69877523998676
85;350;2019;187;408;45.8333333333333
75;351;2019;1249;2664;46.8843843843844
81;352;2019;350;582;60.1374570446735
102;353;2019;647;5003;12.9322406556066
99;354;2019;647;5003;12.9322406556066
76;355;2019;478;3311;14.436726064633
78;356;2019;258;1774;14.543404735062
91;357;2019;1275;2603;48.9819439108721
79;358;2019;350;582;60.1374570446735
82;359;2019;350;582;60.1374570446735
86;360;2019;500;2674;18.698578908003
92;361;2019;1275;2603;48.9819439108721
89;362;2019;174;1298;13.4052388289676
77;363;2019;478;3311;14.436726064633
101;364;2019;647;5003;12.9322406556066
100;365;2019;647;5003;12.9322406556066
97;366;2019;373;2638;14.1394996209249
96;367;2019;373;2638;14.1394996209249
84;368;2019;187;408;45.8333333333333
109;369;2010;311;322;96.583850931677
106;370;2010;679;801;84.769038701623
108;371;2010;311;322;96.583850931677
104;372;2010;1088;1425;76.3508771929825
107;373;2010;679;801;84.769038701623
105;374;2010;2263;3328;67.9987980769231
105;375;2011;;;0
104;376;2011;335;376;89.0957446808511
109;377;2015;315;321;98.1308411214953
106;378;2015;700;798;87.719298245614
108;379;2015;315;321;98.1308411214953
104;380;2015;1391;1428;97.4089635854342
107;381;2015;700;798;87.719298245614
105;382;2015;3065;3353;91.4106770056666
109;383;2019;29;320;9.0625
106;384;2019;129;756;17.0634920634921
108;385;2019;29;320;9.0625
104;386;2019;355;1354;26.218611521418
107;387;2019;129;756;17.0634920634921
105;388;2019;1286;3314;38.8050694025347
135;389;2009;57;531;10.7344632768362
115;390;2009;4605;5578;82.556471853711
118;391;2009;3118;4643;67.1548567736377
111;392;2009;6804;7158;95.0544844928751
120;393;2009;1786;1896;94.1983122362869
112;394;2009;6804;7158;95.0544844928751
121;395;2009;3137;4451;70.4785441473826
119;396;2009;3118;4643;67.1548567736377
113;397;2009;3574;4050;88.2469135802469
116;398;2009;465;1028;45.2334630350195
110;399;2009;16;37;43.2432432432432
114;400;2009;3574;4050;88.2469135802469
117;401;2009;465;1028;45.2334630350195
135;402;2012;92;577;15.9445407279029
115;403;2012;4863;5558;87.4955019791292
118;404;2012;3426;4658;73.550880206097
111;405;2012;7036;7159;98.2818829445453
120;406;2012;1812;1888;95.9745762711864
112;407;2012;7036;7159;98.2818829445453
121;408;2012;3578;4453;80.3503256231754
119;409;2012;3426;4658;73.550880206097
113;410;2012;3644;4045;90.0865265760198
116;411;2012;532;1041;51.104707012488
110;412;2012;25;47;53.1914893617021
114;413;2012;3644;4045;90.0865265760198
117;414;2012;532;1041;51.104707012488
122;415;2009;;266;0
122;416;2012;;244;0
123;417;2010;2423;3868;62.6421923474664
123;418;2012;2635;3922;67.1851096379398
123;419;2019;1337;3861;34.6283346283346
124;420;2009;2967;3237;91.6589434661724
124;421;2012;2676;3177;84.2304060434372
130;422;2009;48;71;67.6056338028169
127;423;2009;66;125;52.8
128;424;2009;66;125;52.8
129;425;2009;48;71;67.6056338028169
126;426;2009;3392;3520;96.3636363636364
125;427;2009;3649;3982;91.6373681567052
130;428;2012;26;71;36.6197183098592
127;429;2012;49;116;42.2413793103448
128;430;2012;49;116;42.2413793103448
129;431;2012;26;71;36.6197183098592
126;432;2012;3237;3510;92.2222222222222
125;433;2012;3834;3987;96.1625282167043
130;434;2019;;70;0
127;435;2019;;119;0
128;436;2019;;119;0
129;437;2019;;70;0
126;438;2019;1608;3427;46.921505690108
125;439;2019;682;3938;17.3184357541899
