,FID_,COUNT,AREA,SUM
0,0,85.0,340.0,0.0
1,1,294.0,1176.0,218.0
2,2,1749.0,6996.0,642.0
3,3,620.0,2480.0,410.0
4,4,1349.0,5396.0,494.0
5,5,463.0,1852.0,329.0
6,6,223.0,892.0,44.0
7,7,1912.0,7648.0,226.0
8,8,1620.0,6480.0,712.0
9,9,2379.0,9516.0,226.0
10,10,3914.0,15656.0,929.0
11,11,888.0,3552.0,394.0
12,12,1152.0,4608.0,986.0
13,13,977.0,3908.0,303.0
14,14,482.0,1928.0,277.0
15,15,5.0,20.0,0.0
16,16,1181.0,4724.0,468.0
17,17,1692.0,6768.0,871.0
18,18,671.0,2684.0,332.0
19,19,1323.0,5292.0,28.0
20,20,1036.0,4144.0,307.0
21,21,1425.0,5700.0,704.0
22,22,1514.0,6056.0,699.0
23,23,1205.0,4820.0,578.0
24,24,1818.0,7272.0,262.0
25,25,3906.0,15624.0,1998.0
26,26,2700.0,10800.0,985.0
27,27,1571.0,6284.0,1067.0
28,28,432.0,1728.0,198.0
29,29,979.0,3916.0,586.0
30,30,602.0,2408.0,488.0
31,31,1722.0,6888.0,850.0
32,32,146.0,584.0,81.0
33,33,571.0,2284.0,294.0
34,34,8712.0,34848.0,1108.0
35,35,826.0,3304.0,203.0
36,36,2631.0,10524.0,1779.0
37,37,1906.0,7624.0,782.0
38,38,2945.0,11780.0,893.0
39,39,898.0,3592.0,35.0
40,40,317.0,1268.0,95.0
41,41,1671.0,6684.0,692.0
42,42,1217.0,4868.0,819.0
43,43,256.0,1024.0,213.0
44,44,211.0,844.0,139.0
45,45,274.0,1096.0,89.0
46,46,3142.0,12568.0,1330.0
47,47,892.0,3568.0,616.0
48,48,2266.0,9064.0,844.0
49,49,282.0,1128.0,194.0
50,50,3480.0,13920.0,266.0
51,51,2236.0,8944.0,1094.0
52,52,1881.0,7524.0,1036.0
53,53,3165.0,12660.0,1054.0
54,54,3544.0,14176.0,695.0
55,55,3573.0,14292.0,1341.0
56,56,3997.0,15988.0,2136.0
57,57,1712.0,6848.0,1414.0
58,58,465.0,1860.0,281.0
59,59,2566.0,10264.0,258.0
60,60,96.0,384.0,59.0
61,61,5586.0,22344.0,2373.0
62,62,1428.0,5712.0,663.0
63,63,1145.0,4580.0,797.0
64,64,4863.0,19452.0,28.0
65,65,732.0,2928.0,166.0
66,66,1068.0,4272.0,178.0
67,67,562.0,2248.0,266.0
68,68,1191.0,4764.0,233.0
69,69,8507.0,34028.0,1406.0
70,70,2674.0,10696.0,574.0
71,71,814.0,3256.0,13.0
72,72,1874.0,7496.0,325.0
73,73,1227.0,4908.0,647.0
74,74,3939.0,15756.0,1367.0
75,75,1169.0,4676.0,565.0
76,76,550.0,2200.0,326.0
77,77,1086.0,4344.0,372.0
78,78,483.0,1932.0,169.0
79,79,285.0,1140.0,103.0
80,80,1870.0,7480.0,145.0
81,81,1356.0,5424.0,62.0
82,82,1552.0,6208.0,677.0
83,83,2507.0,10028.0,302.0
84,84,1113.0,4452.0,483.0
85,85,1893.0,7572.0,262.0
86,86,501.0,2004.0,219.0
87,87,1324.0,5296.0,730.0
88,88,1041.0,4164.0,361.0
89,89,1628.0,6512.0,35.0
90,90,1265.0,5060.0,585.0
91,91,1336.0,5344.0,584.0
92,92,628.0,2512.0,121.0
93,93,4754.0,19016.0,1455.0
94,94,3370.0,13480.0,2348.0
95,95,1318.0,5272.0,618.0
96,96,3038.0,12152.0,897.0
97,97,933.0,3732.0,264.0
98,98,1202.0,4808.0,291.0
99,99,2016.0,8064.0,541.0
100,100,1204.0,4816.0,177.0
101,101,2405.0,9620.0,799.0
102,102,1054.0,4216.0,658.0
103,103,2252.0,9008.0,687.0
104,104,1375.0,5500.0,380.0
105,105,1829.0,7316.0,831.0
106,106,1496.0,5984.0,543.0
107,107,44.0,176.0,33.0
108,108,1755.0,7020.0,749.0
109,109,296.0,1184.0,216.0
110,110,2155.0,8620.0,1567.0
111,111,1968.0,7872.0,498.0
112,112,1624.0,6496.0,95.0
113,113,834.0,3336.0,279.0
114,114,274.0,1096.0,266.0
115,115,982.0,3928.0,841.0
116,116,662.0,2648.0,496.0
117,117,374.0,1496.0,360.0
118,118,368.0,1472.0,56.0
119,119,3525.0,14100.0,868.0
120,120,1736.0,6944.0,120.0
121,121,1024.0,4096.0,230.0
122,122,1772.0,7088.0,865.0
123,123,937.0,3748.0,589.0
124,124,2585.0,10340.0,1272.0
125,125,1658.0,6632.0,679.0
126,126,1095.0,4380.0,572.0
127,127,737.0,2948.0,203.0
128,128,286.0,1144.0,263.0
129,129,1660.0,6640.0,501.0
130,130,1133.0,4532.0,457.0
131,131,888.0,3552.0,703.0
132,132,864.0,3456.0,184.0
