,FID_,COUNT,AREA,SUM
0,0,605.0,2420.0,542.0
1,1,252.0,1008.0,192.0
2,2,240.0,960.0,178.0
3,3,544.0,2176.0,351.0
4,4,931.0,3724.0,822.0
5,5,910.0,3640.0,451.0
6,6,251.0,1004.0,216.0
7,7,582.0,2328.0,409.0
8,8,2222.0,8888.0,1966.0
9,9,423.0,1692.0,20.0
10,10,363.0,1452.0,253.0
11,11,254.0,1016.0,217.0
12,12,1145.0,4580.0,884.0
13,13,528.0,2112.0,396.0
14,14,214.0,856.0,208.0
15,15,24.0,96.0,19.0
16,16,1303.0,5212.0,1143.0
17,17,671.0,2684.0,475.0
18,18,727.0,2908.0,588.0
19,19,1090.0,4360.0,1030.0
20,20,577.0,2308.0,504.0
21,21,3165.0,12660.0,2543.0
22,22,1745.0,6980.0,1543.0
23,23,1842.0,7368.0,1413.0
24,24,635.0,2540.0,554.0
25,25,1476.0,5904.0,934.0
26,26,873.0,3492.0,715.0
27,27,1193.0,4772.0,534.0
28,28,2123.0,8492.0,1849.0
29,29,1129.0,4516.0,795.0
30,30,403.0,1612.0,343.0
31,31,3034.0,12136.0,1942.0
32,32,378.0,1512.0,304.0
33,33,223.0,892.0,221.0
34,34,555.0,2220.0,378.0
35,35,306.0,1224.0,117.0
36,36,2665.0,10660.0,1127.0
37,37,637.0,2548.0,510.0
38,38,893.0,3572.0,655.0
39,39,8.0,32.0,2.0
40,40,1376.0,5504.0,1168.0
41,41,1631.0,6524.0,1340.0
42,42,1406.0,5624.0,1110.0
43,43,387.0,1548.0,289.0
44,44,6.0,24.0,6.0
45,45,706.0,2824.0,663.0
46,46,293.0,1172.0,247.0
47,47,515.0,2060.0,442.0
48,48,1270.0,5080.0,1107.0
49,49,598.0,2392.0,426.0
50,50,310.0,1240.0,193.0
51,51,567.0,2268.0,365.0
52,52,2043.0,8172.0,1359.0
53,53,478.0,1912.0,284.0
54,54,284.0,1136.0,182.0
55,55,898.0,3592.0,779.0
56,56,500.0,2000.0,280.0
57,57,273.0,1092.0,226.0
58,58,176.0,704.0,157.0
59,59,103.0,412.0,93.0
60,60,2040.0,8160.0,1497.0
61,61,545.0,2180.0,401.0
62,63,287.0,1148.0,254.0
63,64,570.0,2280.0,421.0
64,65,1198.0,4792.0,903.0
65,66,677.0,2708.0,255.0
66,67,2925.0,11700.0,2163.0
67,68,451.0,1804.0,406.0
68,69,1186.0,4744.0,829.0
69,70,418.0,1672.0,306.0
70,71,556.0,2224.0,500.0
71,72,419.0,1676.0,305.0
72,73,731.0,2924.0,655.0
73,74,390.0,1560.0,300.0
74,75,35.0,140.0,30.0
75,76,9.0,36.0,9.0
76,77,21.0,84.0,15.0
77,79,4315.0,17260.0,3776.0
78,80,319.0,1276.0,266.0
79,81,352.0,1408.0,285.0
80,82,301.0,1204.0,262.0
81,83,570.0,2280.0,141.0
82,84,890.0,3560.0,699.0
83,85,953.0,3812.0,699.0
84,86,1664.0,6656.0,948.0
85,87,730.0,2920.0,454.0
86,88,2732.0,10928.0,2190.0
87,89,2848.0,11392.0,1934.0
88,90,373.0,1492.0,299.0
89,91,351.0,1404.0,204.0
90,92,993.0,3972.0,682.0
91,93,2894.0,11576.0,2676.0
92,94,384.0,1536.0,369.0
93,95,417.0,1668.0,383.0
94,96,296.0,1184.0,274.0
95,97,1072.0,4288.0,406.0
96,98,998.0,3992.0,790.0
97,99,235.0,940.0,176.0
98,100,388.0,1552.0,315.0
99,101,381.0,1524.0,283.0
100,102,129.0,516.0,94.0
101,103,423.0,1692.0,287.0
102,104,553.0,2212.0,282.0
103,105,462.0,1848.0,240.0
104,106,658.0,2632.0,491.0
105,107,4171.0,16684.0,3207.0
106,108,1034.0,4136.0,671.0
107,109,1040.0,4160.0,843.0
108,110,1732.0,6928.0,1403.0
109,111,2224.0,8896.0,1843.0
110,112,608.0,2432.0,303.0
111,113,849.0,3396.0,525.0
112,114,245.0,980.0,163.0
113,115,305.0,1220.0,264.0
114,116,623.0,2492.0,583.0
115,117,840.0,3360.0,607.0
116,118,1522.0,6088.0,1330.0
117,119,895.0,3580.0,792.0
118,120,573.0,2292.0,317.0
119,121,1721.0,6884.0,1119.0
120,122,669.0,2676.0,575.0
121,123,316.0,1264.0,278.0
122,124,348.0,1392.0,225.0
123,125,675.0,2700.0,609.0
124,126,1928.0,7712.0,1711.0
125,127,1304.0,5216.0,1113.0
126,128,1340.0,5360.0,1192.0
127,129,219.0,876.0,190.0
128,130,1389.0,5556.0,1184.0
129,131,1.0,4.0,1.0
130,132,322.0,1288.0,68.0
131,133,1034.0,4136.0,682.0
132,134,917.0,3668.0,739.0
133,135,1044.0,4176.0,822.0
134,136,1333.0,5332.0,956.0
135,137,574.0,2296.0,510.0
136,138,741.0,2964.0,517.0
137,139,1921.0,7684.0,1319.0
138,140,455.0,1820.0,100.0
139,141,259.0,1036.0,73.0
140,142,223.0,892.0,157.0
141,143,13044.0,52176.0,10079.0
142,144,616.0,2464.0,518.0
143,145,832.0,3328.0,361.0
144,146,1426.0,5704.0,1137.0
145,147,226.0,904.0,168.0
146,148,189.0,756.0,169.0
147,149,7224.0,28896.0,6078.0
148,150,6799.0,27196.0,5449.0
149,151,1687.0,6748.0,1562.0
150,152,1235.0,4940.0,786.0
151,153,591.0,2364.0,528.0
152,154,1345.0,5380.0,975.0
153,155,192.0,768.0,170.0
154,156,243.0,972.0,198.0
155,157,1174.0,4696.0,1048.0
156,158,578.0,2312.0,436.0
157,159,982.0,3928.0,878.0
158,160,983.0,3932.0,759.0
159,161,578.0,2312.0,436.0
160,162,982.0,3928.0,878.0
161,163,3138.0,12552.0,2506.0
162,164,1307.0,5228.0,1081.0
163,165,903.0,3612.0,789.0
164,166,191.0,764.0,179.0
165,167,2151.0,8604.0,1744.0
166,168,394.0,1576.0,285.0
167,169,568.0,2272.0,435.0
168,170,717.0,2868.0,671.0
169,171,603.0,2412.0,98.0
170,172,1822.0,7288.0,434.0
171,173,440.0,1760.0,346.0
172,174,852.0,3408.0,677.0
173,175,647.0,2588.0,555.0
174,176,302.0,1208.0,254.0
175,177,2585.0,10340.0,1369.0
176,178,4365.0,17460.0,3933.0
177,179,548.0,2192.0,190.0
178,180,634.0,2536.0,487.0
179,181,66.0,264.0,47.0
180,182,42.0,168.0,29.0
181,183,694.0,2776.0,412.0
182,184,662.0,2648.0,549.0
183,185,565.0,2260.0,491.0
184,186,115.0,460.0,97.0
185,187,251.0,1004.0,190.0
186,188,652.0,2608.0,503.0
187,189,538.0,2152.0,375.0
188,190,1927.0,7708.0,1543.0
189,191,539.0,2156.0,487.0
190,192,757.0,3028.0,699.0
191,193,476.0,1904.0,346.0
192,194,482.0,1928.0,346.0
193,195,29.0,116.0,27.0
194,196,8909.0,35636.0,7191.0
195,197,1721.0,6884.0,1287.0
196,198,124.0,496.0,41.0
197,199,663.0,2652.0,584.0
198,200,351.0,1404.0,344.0
199,201,133.0,532.0,81.0
200,202,227.0,908.0,163.0
201,203,116.0,464.0,94.0
202,204,1631.0,6524.0,1282.0
203,205,366.0,1464.0,241.0
204,206,879.0,3516.0,768.0
205,207,222.0,888.0,171.0
206,208,488.0,1952.0,434.0
207,209,575.0,2300.0,455.0
208,210,980.0,3920.0,880.0
209,211,487.0,1948.0,428.0
210,212,1021.0,4084.0,800.0
211,213,314.0,1256.0,266.0
212,214,530.0,2120.0,399.0
213,215,667.0,2668.0,555.0
214,216,2.0,8.0,0.0
215,218,1443.0,5772.0,820.0
216,219,288.0,1152.0,156.0
217,220,1916.0,7664.0,1641.0
218,221,629.0,2516.0,501.0
219,222,1066.0,4264.0,1006.0
220,223,129.0,516.0,98.0
221,224,1555.0,6220.0,1299.0
222,225,2309.0,9236.0,1261.0
223,226,1002.0,4008.0,943.0
224,227,627.0,2508.0,530.0
225,228,470.0,1880.0,323.0
226,229,2559.0,10236.0,2054.0
227,230,1026.0,4104.0,868.0
228,231,210.0,840.0,174.0
229,232,5182.0,20728.0,4480.0
230,233,383.0,1532.0,282.0
231,234,2291.0,9164.0,1882.0
232,235,666.0,2664.0,478.0
233,236,525.0,2100.0,366.0
234,237,138.0,552.0,110.0
235,238,3025.0,12100.0,2661.0
236,239,423.0,1692.0,414.0
237,240,153.0,612.0,133.0
238,241,411.0,1644.0,368.0
239,242,1818.0,7272.0,1528.0
240,243,467.0,1868.0,407.0
241,244,507.0,2028.0,297.0
242,245,892.0,3568.0,765.0
243,246,518.0,2072.0,334.0
244,247,267.0,1068.0,226.0
245,249,941.0,3764.0,642.0
246,250,2484.0,9936.0,1738.0
247,251,268.0,1072.0,208.0
248,252,872.0,3488.0,501.0
249,253,1889.0,7556.0,1048.0
250,254,956.0,3824.0,766.0
251,255,620.0,2480.0,470.0
252,256,4871.0,19484.0,4140.0
253,257,3546.0,14184.0,3136.0
254,258,1058.0,4232.0,937.0
255,259,1608.0,6432.0,977.0
256,260,214.0,856.0,135.0
257,261,400.0,1600.0,141.0
258,263,3.0,12.0,3.0
259,264,2163.0,8652.0,1932.0
260,265,125.0,500.0,106.0
261,266,456.0,1824.0,364.0
262,267,481.0,1924.0,400.0
263,268,79.0,316.0,52.0
264,269,973.0,3892.0,820.0
